Year,Game,Genre,Publisher,Original platform(s)[a],Ref.
1971,The Oregon Trail,Strategy,MECC,HP 2100,[A]
1972,Pong,Sports,"Atari, Inc.",Arcade,[B]
1977,Combat,Top-down shooter,"Atari, Inc.",Atari 2600,[C]
1977,Zork,Adventure,Infocom,PDP-10,[D]
1978,Space Invaders,Shoot 'em up,Taito,Arcade,[E]
1979,Asteroids,Shoot 'em up,"Atari, Inc.",Arcade,[F]
1980,Adventure,Action-adventure,"Atari, Inc.",Atari 2600,[G]
1980,Battlezone,Vehicle simulation,"Atari, Inc.",Arcade,[H]
1980,Missile Command,Shoot 'em up,"Atari, Inc.",Arcade,[I]
1980,Pac-Man,Maze,Namco,Arcade,[J]
1981,Centipede,Shoot 'em up,"Atari, Inc.",Arcade,[K]
1981,Defender,Shoot 'em up,Williams Electronics,Arcade,[L]
1981,Donkey Kong,Platform,Nintendo,Arcade,[M]
1981,Frogger,Action,"Konami, Sega",Arcade,[N]
1981,Galaga,Shoot 'em up,Namco,Arcade,[O]
1981,Tempest,Shoot 'em up,"Atari, Inc.",Arcade,[P]
1981,Wizardry: Proving Grounds of the Mad Overlord,Role-playing,Sir-Tech,Apple II,[Q]
1982,Joust,Action,Williams Electronics,Arcade,[R]
1982,Ms. Pac-Man,Maze,Midway,Arcade,[S]
1982,Pitfall!,Platform,Activision,Atari 2600,[T]
1982,Robotron: 2084,Top-down shooter,Williams Electronics,Arcade,[U]
1983,Archon: The Light and the Dark,Strategy,Electronic Arts,Atari 8-bit,[V]
1983,Lode Runner,Platform,Broderbund,Apple II,[W]
1983,M.U.L.E.,Business simulation,Electronic Arts,Atari 8-bit,[X]
1983,Star Wars,Rail shooter,"Atari, Inc.",Arcade,[Y]
1984,Elite,Space flight simulator,Acornsoft,BBC Micro,[Z]
1984,Marble Madness,Action,Atari Games,Arcade,[AA]
1985,Gauntlet,Hack and slash,Atari Games,Arcade,[AB]
1985,Ghosts 'n Goblins,Platform,Capcom,Arcade,[AC]
1985,Super Mario Bros.,Platform,Nintendo,NES,[AD]
1985,Tetris,Puzzle,Elorg,Electronika 60,[AE]
1985,Ultima IV: Quest of the Avatar,Role-playing,Origin Systems,Apple II,[AF]
1986,Arkanoid,Block breaker,Taito,Arcade,[AG]
1986,Bubble Bobble,Platform,Taito,Arcade,[AH]
1986,The Legend of Zelda,Action-adventure,Nintendo,NES,[AI]
1986,Out Run,Racing,Sega,Arcade,[AJ]
1987,Contra,Run and gun,Konami,Arcade,[AK]
1987,Double Dragon,Beat 'em up,Technos Japan,Arcade,[AL]
1987,Dungeon Master,Role-playing,FTL Games,Atari ST,[AM]
1987,Mike Tyson's Punch-Out!!,Sports,Nintendo,NES,[AN]
1987,R-Type,Shoot 'em up,Irem,Arcade,[AO]
1987,Sid Meier's Pirates!,Action-adventure,MicroProse,Commodore 64,[AP]
1988,Mega Man 2,Platform,Capcom,NES,[AQ]
1988,Ninja Gaiden,Platform,Tecmo,NES,[AR]
1988,Super Mario Bros. 3,Platform,Nintendo,NES,[AS]
1989,Final Fight,Beat 'em up,Capcom,Arcade,[AT]
1989,Populous,God game,Electronic Arts,Amiga,[AU]
1989,Prince of Persia,Platform,Broderbund,Apple II,[AV]
1989,SimCity,City-building,Maxis,"Amiga, Mac",[AW]
1990,The Secret of Monkey Island,Adventure,LucasArts,PC,[AX]
1990,Speedball 2: Brutal Deluxe,Sports,Image Works,"Amiga, Atari ST",[AY]
1990,Super Mario World,Platform,Nintendo,Super NES,[AZ]
1990,Wing Commander,Space flight simulator,Origin Systems,PC,[BA]
1991,Another World,Platform,Delphine Software,"Amiga, Atari ST",[BB]
1991,Civilization,Turn-based strategy,MicroProse,PC,[BC]
1991,Final Fantasy IV,Role-playing,Square,Super NES,[BD]
1991,The Legend of Zelda: A Link to the Past,Action-adventure,Nintendo,Super NES,[BE]
1991,Lemmings,Puzzle,Psygnosis,Amiga,[BF]
1991,Micro Machines,Racing,Camerica,NES,[BG]
1991,Monkey Island 2: LeChuck's Revenge,Adventure,LucasArts,PC,[BH]
1991,Sonic the Hedgehog,Platform,Sega,Sega Genesis,[BI]
1991,Street Fighter II,Fighting,Capcom,Arcade,[BJ]
1991,Super Castlevania IV,Platform,Konami,Super NES,[BK]
1992,Alone in the Dark,Survival horror,Infogrames,PC,[BL]
1992,Contra III: The Alien Wars,Run and gun,Konami,Super NES,[BM]
1992,Dune II,Real-time strategy,Virgin Games,PC,[BN]
1992,Flashback,Platform,U.S. Gold,Amiga,[BO]
1992,Indiana Jones and the Fate of Atlantis,Adventure,LucasArts,PC,[BP]
1992,Mortal Kombat,Fighting,Midway,Arcade,[BQ]
1992,Sensible Soccer,Sports,Renegade Software,"Amiga, Atari ST",[BR]
1992,Sonic the Hedgehog 2,Platform,Sega,Sega Genesis,[BS]
1992,Star Control II,Action-adventure,Accolade,PC,[BT]
1992,Streets of Rage 2,Beat 'em up,Sega,Sega Genesis,[BU]
1992,Super Mario Kart,Kart racing,Nintendo,Super NES,[BV]
